"wishlist","สินค้าที่สนใจ"
"Add to Cart","สั่งซื้อ"
"If you make your payment. Please ","หากท่านทำการชำระเงินเรียบร้อยแล้วกรุณา "
"click here","คลิ๊กที่นี่"
"In order to confirm the payment.","เพื่อไปยังหน้ายืนยันการชำระเงิน"
"Payment Confirmation","แจ้งการชำระเงิน (โอนเงิน)"
"Items in your order","รายการสินค้า"
